Team,Wins,Loss,Overtime_Loss,Shoot_Out_Wins,Overtime_Wins,True_Wins,New_Record,Points,Current_Points,Current_Rank,New_Rank
Tampa Bay Lightning,59,15,4,6,7,46,46-13-4-15,168,122,1.0,1.0
Calgary Flames,48,23,7,0,5,43,43-5-7-23,146,103,2.5,2.0
Washington Capitals,47,24,8,4,5,38,38-9-8-24,140,102,4.0,3.0
Boston Bruins,47,22,9,2,9,36,36-11-9-22,139,103,2.5,4.0
Toronto Maple Leafs,45,26,7,0,6,39,39-6-7-26,136,97,6.5,5.0
New York Islanders,46,26,7,4,6,36,36-10-7-26,135,99,5.0,6.0
San Jose Sharks,44,25,9,0,8,36,36-8-9-25,133,97,6.5,7.0
Winnipeg Jets,45,29,4,2,6,37,37-8-4-29,131,94,9.5,8.0
Pittsburgh Penguins,42,25,11,2,5,35,35-7-11-25,130,95,8.0,9.0
Nashville Predators,44,29,6,4,5,35,35-9-6-29,129,94,9.5,10.5
Carolina Hurricanes,43,28,7,2,5,36,36-7-7-28,129,93,11.0,10.5
Montreal Canadiens,42,29,8,2,4,36,36-6-8-29,128,92,13.0,12.0
Columbus Blue Jackets,44,30,4,1,8,35,35-9-4-30,127,92,13.0,13.5
St. Louis Blues,42,28,8,1,6,35,35-7-8-28,127,92,13.0,13.5
Vegas Golden Knights,42,30,7,3,4,35,35-7-7-30,126,91,15.0,15.0
Dallas Stars,41,31,7,1,6,34,34-7-7-31,123,89,16.0,16.0
Colorado Avalanche,36,29,13,2,2,32,32-4-13-29,117,85,17.0,17.0
Minnesota Wild,36,33,9,1,3,32,32-4-9-33,113,81,21.0,18.0
Arizona Coyotes,37,33,8,4,5,28,28-9-8-33,110,82,19.0,19.5
Philadelphia Flyers,37,33,8,3,6,28,28-9-8-33,110,82,19.0,19.5
Florida Panthers,35,32,12,3,7,25,25-10-12-32,107,82,19.0,21.0
Chicago Blackhawks,34,33,11,2,9,23,23-11-11-33,102,79,22.0,22.0
Anaheim Ducks,33,37,10,3,5,25,25-8-10-37,101,76,25.0,23.0
Edmonton Oilers,34,35,9,3,8,23,23-11-9-35,100,77,24.0,24.0
Vancouver Canucks,34,35,10,6,7,21,21-13-10-35,99,78,23.0,25.0
New York Rangers,30,34,13,6,2,22,22-8-13-34,95,73,26.0,26.0
Buffalo Sabres,31,37,10,5,7,19,19-12-10-37,91,72,27.0,27.5
New Jersey Devils,29,40,10,3,3,23,23-6-10-40,91,68,29.0,27.5
Detroit Red Wings,30,38,10,3,9,18,18-12-10-38,88,70,28.0,29.0
Los Angeles Kings,29,40,9,3,6,20,20-9-9-40,87,67,30.0,30.0
Ottawa Senators,28,44,6,0,6,22,22-6-6-44,84,62,31.0,31.0
