Team,Wins,Loss,OT_L,SOWins,OTWins,OT_W,True_Wins,True_Wins_Pts,OT_W_Pts,OT_L_Pts,New_Record(Reg W - OT/SO Win - OT/SO Loss - Reg Loss),PTS_Total
New York Rangers,53,22,7,4,6,10,43,129,20,7,43-10-7-22,156
Tampa Bay Lightning,50,24,8,3,4,7,43,129,14,8,43-7-8-24,151
Montreal Canadiens,50,22,10,7,6,13,37,111,26,10,37-13-10-22,147
St. Louis Blues,51,24,7,9,5,14,37,111,28,7,37-14-7-24,146
Anaheim Ducks,51,24,7,8,8,16,35,105,32,7,35-16-7-24,144
Chicago Blackhawks,48,28,6,9,3,12,36,108,24,6,36-12-6-28,138
Minnesota Wild,46,28,8,4,4,8,38,114,16,8,38-8-8-28,138
Nashville Predators,47,25,10,6,8,14,33,99,28,10,33-14-10-25,137
Vancouver Canucks,48,29,5,6,6,12,36,108,24,5,36-12-5-29,137
Washington Capitals,45,26,11,5,5,10,35,105,20,11,35-10-11-26,136
New York Islanders,47,28,7,7,6,13,34,102,26,7,34-13-7-28,135
Detroit Red Wings,43,25,14,4,7,11,32,96,22,14,32-11-14-25,132
Los Angeles Kings,40,27,15,2,1,3,37,111,6,15,37-3-15-27,132
Winnipeg Jets,43,26,13,7,4,11,32,96,22,13,32-11-13-26,131
Pittsburgh Penguins,43,27,12,4,6,10,33,99,20,12,33-10-12-27,131
Calgary Flames,45,30,7,4,9,13,32,96,26,7,32-13-7-30,129
Ottawa Senators,43,26,13,6,7,13,30,90,26,13,30-13-13-26,129
Dallas Stars,41,31,10,4,4,8,33,99,16,10,33-8-10-31,125
Boston Bruins,41,27,14,4,9,13,28,84,26,14,28-13-14-27,124
San Jose Sharks,40,33,9,4,2,6,34,102,12,9,34-6-9-33,123
Florida Panthers,38,29,15,8,1,9,29,87,18,15,29-9-15-29,120
Colorado Avalanche,39,31,12,10,2,12,27,81,24,12,27-12-12-31,117
Columbus Blue Jackets,42,35,5,9,5,14,28,84,28,5,28-14-5-35,117
Philadelphia Flyers,33,31,18,3,5,8,25,75,16,18,25-8-18-31,109
New Jersey Devils,32,36,14,5,1,6,26,78,12,14,26-6-14-36,104
Carolina Hurricanes,30,41,11,5,1,6,24,72,12,11,24-6-11-41,95
Toronto Maple Leafs,30,44,8,5,3,8,22,66,16,8,22-8-8-44,90
Edmonton Oilers,24,44,14,5,2,7,17,51,14,14,17-7-14-44,79
Arizona Coyotes,24,50,8,5,5,10,14,42,20,8,14-10-8-50,70
Buffalo Sabres,23,51,8,8,1,9,14,42,18,8,14-9-8-51,68
